serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DATLRUCUY,09/14/2016 12:00:00 AM,STARBUCKS COFFEE #17848,95,A,1,ROUTINE INSPECTION,EE0000531,3452 1/2 WILSHIRE BLVD,LOS ANGELES,FA0048807,CA,90010,OW0033938,STARBUCKS COFFEE CORPORATION,RESTAURANT (31-60) SEATS LOW RISK,1633,STARBUCKS #17848,ACTIVE,PR0003530
DAJUPORGN,09/14/2016 12:00:00 AM,CAFE MIDI,95,A,1,ROUTINE INSPECTION,EE0000828,148 S LA BREA AVE,LOS ANGELES,FA0058931,CA,90036,OW0025209,"MOYAL, EDOUARD",RESTAURANT (31-60) SEATS HIGH RISK,1635,CAFE MIDI,ACTIVE,PR0043473
DARJTSY7N,09/14/2016 12:00:00 AM,VONS MARKET #2655,100,A,1,ROUTINE INSPECTION,EE0000162,7311 N FIGUEROA ST,LOS ANGELES,FA0054446,CA,90041,OW0038181,THE VONS COMPANIES INC.,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,VONS #2655,ACTIVE,PR0009788
DARQFVJJO,09/14/2016 12:00:00 AM,THE ROOM,92,A,1,ROUTINE INSPECTION,EE0000709,1626 N CAHUENGA BLVD,LOS ANGELES,FA0051679,CA,90028,OW0035715,THE ROOM HOLLYWOOD LLC,RESTAURANT (31-60) SEATS LOW RISK,1633,THE ROOM,ACTIVE,PR0011690
DADK1GJL9,09/14/2016 12:00:00 AM,ACE HI LIQUOR,91,A,1,ROUTINE INSPECTION,EE0001021,11508 S WILMINGTON AVE,LOS ANGELES,FA0004657,CA,90059,OW0014698,"HANA MARKET, INC.","FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,ACE HI LIQUOR,ACTIVE,PR0018882
DANRHAF1U,09/14/2016 12:00:00 AM,TID LOM THAI RESTAURANT,84,B,1,ROUTINE INSPECTION,EE0000912,4809 MELROSE AVE,LOS ANGELES,FA0052503,CA,90029,OW0005038,"BOONKRONG, SOMCHAI",RESTAURANT (31-60) SEATS HIGH RISK,1635,TID LOM THAI RESTAURANT,INACTIVE,PR0025909
DA1XIQGCD,09/14/2016 12:00:00 AM,GARY'S LIQUOR,98,A,1,ROUTINE INSPECTION,EE0000912,5067 MELROSE AVE,LOS ANGELES,FA0024590,CA,90038,OW0004746,BISWAS MONINDRA,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,GARY'S LIQUOR,ACTIVE,PR0041949
DAL1A190F,09/14/2016 12:00:00 AM,PIZZA MAYVEN,94,A,1,ROUTINE INSPECTION,EE0000828,140 N LA BREA AVE,LOS ANGELES,FA0068770,CA,90036,OW0028656,PIZZA MAYVEN INC,RESTAURANT (31-60) SEATS MODERATE RISK,1634,PIZZA MAYVEN,ACTIVE,PR0013393
DA897LZZL,09/14/2016 12:00:00 AM,PARTY PLANET BAKERY,95,A,1,ROUTINE INSPECTION,EE0001049,342 N FORD BLVD,LOS ANGELES,FA0044030,CA,90022,OW0020692,"PARTY PLANET SUPPLIES, INC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,PARTY PLANET SUPPLIES,ACTIVE,PR0021875
DAC5MINUC,09/14/2016 12:00:00 AM,RASPADOS ZACATECAS,90,A,1,ROUTINE INSPECTION,EE0001049,422 N FORD BLVD,LOS ANGELES,FA0030055,CA,90022,OW0009174,"CUEVAS, JOSEFA",RESTAURANT (0-30) SEATS MODERATE RISK,1631,RASPADOS ZACATECAS,ACTIVE,PR0048369
DACJVEACA,09/14/2016 12:00:00 AM,JOSE CHIQUITO,95,A,1,ROUTINE INSPECTION,EE0000721,317 S BROADWAY ST # A-6,LOS ANGELES,FA0225007,CA,90013,OW0229468,CHRISTOPHER & ETHAN INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,JOSE CHIQUITO,ACTIVE,PR0180305
DAUMBDP4Q,09/14/2016 12:00:00 AM,NORTHGATE MARKET #37,94,A,1,ROUTINE INSPECTION,EE0000997,425 S SOTO ST,LOS ANGELES,FA0042669,CA,90033,OW0026268,NORTHGATE GONZALEZ LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,DELI/TORTILLERIA,ACTIVE,PR0122824
DAK0MKMMW,09/14/2016 12:00:00 AM,ANNA MARIA'S,92,A,1,ROUTINE INSPECTION,EE0000721,317 S BROADWAY STE #14,LOS ANGELES,FA0006848,CA,90013,OW0002103,"ALFARO, THOMAS",RESTAURANT (0-30) SEATS HIGH RISK,1632,ANNA MARIA'S,ACTIVE,PR0001021
DAXAEVTQ9,09/14/2016 12:00:00 AM,FLORE VEGAN CUISINE,86,B,1,ROUTINE INSPECTION,EE0000904,3818 W SUNSET BLVD,LOS ANGELES,FA0023289,CA,90027,OW0035929,"TIERRA RESTAURANTS, LLC",RESTAURANT (0-30) SEATS HIGH RISK,1632,FLORE VEGAN CUISINE,ACTIVE,PR0037977
DAUFXOBAI,09/14/2016 12:00:00 AM,SAKE HOUSE,90,A,1,ROUTINE INSPECTION,EE0000699,3465 W 6TH ST #150,LOS ANGELES,FA0032759,CA,90020,OW0101199,"KOO, SAM",RESTAURANT (61-150) SEATS HIGH RISK,1638,SAKE HOUSE,ACTIVE,PR0039436
DAG166EPW,09/14/2016 12:00:00 AM,ANGELICA'S BAKERY,92,A,1,ROUTINE INSPECTION,EE0000740,1623 E CESAR E CHAVEZ AVE,LOS ANGELES,FA0006673,CA,90033,OW0024038,"MEDINA, MELVIN DANILO",RESTAURANT (0-30) SEATS MODERATE RISK,1631,ANGELICA'S BAKERY,ACTIVE,PR0032565
DAPLVX0QF,09/14/2016 12:00:00 AM,GAAM RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000699,3465 W 6TH ST # 50,LOS ANGELES,FA0222778,CA,90020,OW0227569,"KYC PARTNERS, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,GAAM RESTAURANT,ACTIVE,PR0177817
DAIFBJCTN,09/14/2016 12:00:00 AM,THE SYCAMORE KITCHEN,98,A,1,ROUTINE INSPECTION,EE0000828,143 S LA BREA AVE,LOS ANGELES,FA0051785,CA,90036,OW0000411,143 S LA BREA INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,THE SYCAMORE KITCHEN,ACTIVE,PR0024823
DAQDGPPL0,09/14/2016 12:00:00 AM,KOKO N PIZZA,93,A,1,ROUTINE INSPECTION,EE0000699,3377 WILSHIRE BLVD STE 110,LOS ANGELES,FA0177026,CA,90010,OW0183003,KOKO N PIZZA INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,KOKO N PIZZA,INACTIVE,PR0169968
DAYN1IZQE,09/14/2016 12:00:00 AM,CVS/PHARMACY #06976,94,A,1,ROUTINE INSPECTION,EE0000923,4414 E YORK BLVD,LOS ANGELES,FA0017366,CA,90041,OW0012926,"GARFIELD BEACH CVS, LLC.","FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,CVS DRUGS STORE #06976,ACTIVE,PR0004888
DANKMNH0D,09/14/2016 12:00:00 AM,MISS COFFEE,84,B,1,ROUTINE INSPECTION,EE0000869,300 S HOBART BLVD STE #101,LOS ANGELES,FA0025079,CA,90020,OW0014666,"HAN, CHONG SUK",RESTAURANT (31-60) SEATS MODERATE RISK,1634,MISS COFFEE,INACTIVE,PR0016109
DALO51SOZ,09/14/2016 12:00:00 AM,STICKY RICE,93,A,1,ROUTINE INSPECTION,EE0000721,317 BROADWAY # B-5,LOS ANGELES,FA0165242,CA,90013,OW0128519,DAVID TEWASART INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,STICKY RICE,ACTIVE,PR0153558
DA0C2OAV3,09/14/2016 12:00:00 AM,T & T MARKET,96,A,1,ROUTINE INSPECTION,EE0000905,1462 W MARTIN LUTHER KING BLVD,LOS ANGELES,FA0035804,CA,90062,OW0100760,"RYU, YON MEE","FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,T & T MARKET,INACTIVE,PR0003051
DA8NIACL3,09/14/2016 12:00:00 AM,HONG KONG BBQ RESTAURANT,86,B,1,ROUTINE INSPECTION,EE0001058,803 N BROADWAY,LOS ANGELES,FA0028579,CA,90012,OW0016253,HONG KONG BBQ RESTAURANT,RESTAURANT (61-150) SEATS HIGH RISK,1638,HONG KONG BBQ RESTAURANT,INACTIVE,PR0022948
DABACSWFP,09/14/2016 12:00:00 AM,CBS SEAFOOD RESTAURANT,86,B,1,ROUTINE INSPECTION,EE0001058,700 N SPRING ST,LOS ANGELES,FA0014021,CA,90012,OW0006592,CBS SEAFOOD RESTAURANT LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,CBS SEAFOOD RESTAURANT,ACTIVE,PR0020846
DAUWEYUB5,09/14/2016 12:00:00 AM,OBSERVATION DECK US BANK BUILDING,97,A,1,ROUTINE INSPECTION,EE0000721,633 W 5TH ST STE 70F,LOS ANGELES,FA0224977,CA,90071,OW0229442,OUE SKYSPACE LLC,RESTAURANT (0-30) SEATS LOW RISK,1630,OBSERVATION DECK US BANK BUILDING,ACTIVE,PR0180273
DAQZJFCFN,09/14/2016 12:00:00 AM,TOM N TOMS COFFEE,98,A,1,ROUTINE INSPECTION,EE0000869,3785 WILSHIRE BLVD STE 26,LOS ANGELES,FA0038035,CA,90010,OW0036137,"TOM N TOMS SOLAIR, LLC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,TOM N TOMS COFFEE,INACTIVE,PR0036024
