serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DAJ00E07B,12/29/2017 12:00:00 AM,HABITAT COFFEE SHOP,95,A,1,ROUTINE INSPECTION,EE0000923,3708 N EAGLE ROCK BLVD,LOS ANGELES,FA0170465,CA,90065,OW0178123,GLASSELL COFFEE SHOP LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,HABITAT COFFEE SHOP,ACTIVE,PR0160774
DAQOKRFZB,12/29/2017 12:00:00 AM,REILLY'S,92,A,1,ROUTINE INSPECTION,EE0000633,100 WORLD WAY # 120,LOS ANGELES,FA0244690,CA,90045,OW0208441,"AREAS SKYVIEW LAX JV, LLC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,REILLY'S,ACTIVE,PR0193026
DASJI4LUR,12/29/2017 12:00:00 AM,STREET CHURROS,93,A,1,ROUTINE INSPECTION,EE0000835,6801 HOLLYWOOD BLVD # 253,LOS ANGELES,FA0224109,CA,90028,OW0228670,"STREETCHURROS, INC",RESTAURANT (0-30) SEATS LOW RISK,1630,STREET CHURROS,ACTIVE,PR0179282
DA40LU5AT,12/29/2017 12:00:00 AM,TRINITI ECHO PARK,94,A,1,ROUTINE INSPECTION,EE0000923,1814 W SUNSET BLVD,LOS ANGELES,FA0252528,CA,90026-3227,OW0246287,AMERICAN HOSPITALITY,RESTAURANT (0-30) SEATS MODERATE RISK,1631,TRINITI ECHO PARK,ACTIVE,PR0201836
DAXV2RMYC,12/29/2017 12:00:00 AM,POLLEN,94,A,1,ROUTINE INSPECTION,EE0000923,2100 ECHO PARK AVE,LOS ANGELES,FA0252789,CA,90026,OW0246479,"POLLEN AND PASTRY , LLC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,POLLEN,ACTIVE,PR0202148
DAMV56BMJ,12/29/2017 12:00:00 AM,THE SPOT GRILL,93,A,1,ROUTINE INSPECTION,EE0000727,10004 NATIONAL BLVD,LOS ANGELES,FA0245224,CA,90034,OW0240313,LIQUOR CLUB INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,THE SPOT GRILL,INACTIVE,PR0193589
DAKSJB0AB,12/29/2017 12:00:00 AM,7 ELEVEN #37215A,95,A,1,ROUTINE INSPECTION,EE0000839,3330 W FLORENCE AVE,LOS ANGELES,FA0243779,CA,90043-4706,OW0239028,"S & U INVESTMENTS, INC.","FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,7 ELEVEN #37215A,ACTIVE,PR0192029
DAQOJLNCD,12/29/2017 12:00:00 AM,CPK,91,A,1,ROUTINE INSPECTION,EE0000633,100 WORLD WAY # 126,LOS ANGELES,FA0225926,CA,90045,OW0208441,"AREAS SKYVIEW LAX JV, LLC",RESTAURANT (61-150) SEATS HIGH RISK,1638,CPK,ACTIVE,PR0181243
DAACRFWTS,12/29/2017 12:00:00 AM,PHO LALA,95,A,1,ROUTINE INSPECTION,EE0000699,3500 W 6TH ST STE 226,LOS ANGELES,FA0248964,CA,90020,OW0243289,"VANILLA #, INC",RESTAURANT (0-30) SEATS HIGH RISK,1632,PHO LALA,ACTIVE,PR0197670
DAE1JXAWW,12/29/2017 12:00:00 AM,ABC DONUTS,91,A,1,ROUTINE INSPECTION,EE0000923,3027 N SAN FERNANDO RD UNIT 103,LOS ANGELES,FA0002761,CA,90065,OW0026313,"NOUNG, SAING HOW",RESTAURANT (0-30) SEATS MODERATE RISK,1631,ABC DONUTS,ACTIVE,PR0045001
DAHKJFBMR,12/28/2017 12:00:00 AM,UPSTAIRS,95,A,1,ROUTINE INSPECTION,EE0000581,3707 N CAHUENGA BLVD,LOS ANGELES,FA0137987,CA,91604,OW0101400,"CLARITY MANAGEMENT, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,UPSTAIRS,ACTIVE,PR0122211
DASL61OZ3,12/28/2017 12:00:00 AM,EL POLLO LOCO,97,A,1,ROUTINE INSPECTION,EE0000857,5319 W SUNSET BLVD,LOS ANGELES,FA0021238,CA,90027,OW0010868,"EL POLLO LOCO, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,EL POLLO LOCO,ACTIVE,PR0028596
DAYOUBUYG,12/28/2017 12:00:00 AM,POONG NYUN BAKERY,95,A,1,ROUTINE INSPECTION,EE0000854,928 S WESTERN AVE STE 109,LOS ANGELES,FA0044972,CA,90006,OW0019353,"KIM, JUNE",RESTAURANT (0-30) SEATS HIGH RISK,1632,POONG NYUN BAKERY,ACTIVE,PR0036485
DA3N76M8U,12/28/2017 12:00:00 AM,EMC RESTAURANT GROUP LLC,90,A,1,ROUTINE INSPECTION,EE0000699,3500 W 6TH ST STE 101,LOS ANGELES,FA0163115,CA,90020,OW0126785,EMC RESTAURANT GROUP LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,EMC RESTAURANT GROUP LLC,ACTIVE,PR0151290
DAK90PBPD,12/28/2017 12:00:00 AM,POPULAR DONUTS,90,A,1,ROUTINE INSPECTION,EE0000729,3614 W SLAUSON AVE,LOS ANGELES,FA0044449,CA,90043,OW0020657,"LAM, TAK MENG",RESTAURANT (0-30) SEATS MODERATE RISK,1631,POPULAR DONUTS,ACTIVE,PR0046358
DAA1OISIX,12/28/2017 12:00:00 AM,CUSCATLECA BAKERY,92,A,1,ROUTINE INSPECTION,EE0000923,2501 W SUNSET BLVD #A,LOS ANGELES,FA0138657,CA,90026,OW0101989,"CUSCATLECA, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,CUSCATLECA BAKERY,ACTIVE,PR0123010
DAFXWIUCE,12/28/2017 12:00:00 AM,FOOD COURT TRAY WASHING AREA,98,A,1,ROUTINE INSPECTION,EE0000854,928 S WESTERN AVE STE 300,LOS ANGELES,FA0062180,CA,90006,OW0019896,KOREN SHOPPING CENTER INC,RESTAURANT (0-30) SEATS LOW RISK,1630,FOOD COURT TRAY WASHING AREA,ACTIVE,PR0011022
DAH1WNPMC,12/28/2017 12:00:00 AM,HMS BOUNTY,97,A,1,ROUTINE INSPECTION,EE0000699,3357 WILSHIRE BLVD,LOS ANGELES,FA0027722,CA,90010,OW0006456,"CASTANEDA, JUAN R",RESTAURANT (61-150) SEATS HIGH RISK,1638,HMS BOUNTY,ACTIVE,PR0023442
DAKBEMZRR,12/28/2017 12:00:00 AM,7 ELEVEN #27069,85,B,1,ROUTINE INSPECTION,EE0000338,11666 W OLYMPIC BLVD,LOS ANGELES,FA0047448,CA,90064,OW0026345,NRG CONVENIENCE STORES INC,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,7- ELEVEN #27069,INACTIVE,PR0007905
DACQXFMEG,12/28/2017 12:00:00 AM,AN'S CHAN BANG,97,A,1,ROUTINE INSPECTION,EE0000117,244 S OXFORD AVE # 5,LOS ANGELES,FA0225480,CA,90004,OW0229742,AN'S CHAN BANG,RESTAURANT (0-30) SEATS HIGH RISK,1632,AN'S CHAN BANG,ACTIVE,PR0180803
DATY0A05H,12/28/2017 12:00:00 AM,MURAKAMI,92,A,1,ROUTINE INSPECTION,EE0000951,7160 MELROSE AVE,LOS ANGELES,FA0138424,CA,90046,OW0101780,TADASHI MURAKAMI,RESTAURANT (61-150) SEATS HIGH RISK,1638,MURAKAMI,ACTIVE,PR0122742
DAF0GFYS4,12/28/2017 12:00:00 AM,DELTA SKY CLUB T3,93,A,1,ROUTINE INSPECTION,EE0000633,300 WORLD WAY,LOS ANGELES,FA0248072,CA,90045,OW0242509,"DELTA AIR LINES, INC.",RESTAURANT (61-150) SEATS MODERATE RISK,1637,DELTA SKY CLUB T3,ACTIVE,PR0196711
DAWIMW6RR,12/28/2017 12:00:00 AM,CRYSTAL CAFE,91,A,1,ROUTINE INSPECTION,EE0000699,3500 W 6TH ST STE #321,LOS ANGELES,FA0010340,CA,90005,OW0009137,CRYSTAL SPA AND SAUNA OF L.A,RESTAURANT (0-30) SEATS MODERATE RISK,1631,CRYSTAL CAFE,ACTIVE,PR0037360
DAS9HSZUC,12/28/2017 12:00:00 AM,ORANGE TREE CAFE,92,A,1,ROUTINE INSPECTION,EE0000699,3500 W 6TH ST STE #220,LOS ANGELES,FA0043262,CA,90010,OW0016703,"HWANG, ALBERT",RESTAURANT (0-30) SEATS MODERATE RISK,1631,ORANGE TREE CAFE,ACTIVE,PR0017543
DAASUGWDB,12/28/2017 12:00:00 AM,CAMY'S GRILL,93,A,1,ROUTINE INSPECTION,EE0000699,3339 WILSHIRE BLVD,LOS ANGELES,FA0164018,CA,90010,OW0127486,HUMBERTO CASTELLANOS,RESTAURANT (31-60) SEATS HIGH RISK,1635,CAMY'S GRILL,ACTIVE,PR0152251
DAIKIC6SX,12/28/2017 12:00:00 AM,SABORES DEL PERU,82,B,1,ROUTINE INSPECTION,EE0000366,1015 WALL ST STE 123,LOS ANGELES,FA0242973,CA,90015-2392,OW0238493,CESAR C MALPARTIDA,RESTAURANT (0-30) SEATS HIGH RISK,1632,SABORES DEL PERU,ACTIVE,PR0191187
DAKGAPBU1,12/28/2017 12:00:00 AM,M CAFE DE CHAYA,91,A,1,ROUTINE INSPECTION,EE0000951,7119 MELROSE AVE,LOS ANGELES,FA0036598,CA,90046,OW0011381,EUGENE AND ASSOCIATES INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,M CAFE DE CHAYA,ACTIVE,PR0021280
DAVC3OO1J,12/28/2017 12:00:00 AM,INDIA'S GRILL,90,A,1,ROUTINE INSPECTION,EE0000659,428 S SAN VICENTE BLVD,LOS ANGELES,FA0230665,CA,90048,OW0234775,"LUCKYRICKY,INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,INDIA'S GRILL,ACTIVE,PR0186016
DAO9O7VBX,12/28/2017 12:00:00 AM,LA INDIA BONITA CAFE,97,A,1,ROUTINE INSPECTION,EE0000366,1277 S INDIANA ST,LOS ANGELES,FA0065185,CA,90023,OW0012004,"FLORES, MARIA GUADALUPE",RESTAURANT (0-30) SEATS MODERATE RISK,1631,LA INDIA BONITA CAFE,ACTIVE,PR0014649
DA9YVUZ60,12/28/2017 12:00:00 AM,NORM'S RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000951,470 N LA CIENEGA BLVD,LOS ANGELES,FA0166559,CA,90048,OW0129683,"NORM'S RESTAURANTS, LLC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,NORM'S RESTAURANT,ACTIVE,PR0156875
DAOUG11X0,12/28/2017 12:00:00 AM,BEVERLY FALAFEL,92,A,1,ROUTINE INSPECTION,EE0000659,8508 W 3RD ST,LOS ANGELES,FA0058308,CA,90048,OW0004590,"BEVERLY FALAFEL, INC",RESTAURANT (31-60) SEATS HIGH RISK,1635,BEVERLY FALAFEL,ACTIVE,PR0039433
DA2MRT8MI,12/28/2017 12:00:00 AM,KRISPY KRUNCHY CHICKEN - ALVARADO,92,A,1,ROUTINE INSPECTION,EE0000884,600 S ALVARADO ST STE 111C,LOS ANGELES,FA0252457,CA,90057-3344,OW0246225,LI'S KKC CHICKEN INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,KRISPY KRUNCHY CHICKEN - ALVARADO,ACTIVE,PR0201727
DAVIRWF5P,12/28/2017 12:00:00 AM,CAFE 153,93,A,1,ROUTINE INSPECTION,EE0000366,1125 3/4 WALL ST,LOS ANGELES,FA0163437,CA,90015,OW0127044,JAMIE JIYOUNG BAE,RESTAURANT (0-30) SEATS MODERATE RISK,1631,CAFE 153,ACTIVE,PR0151653
DAX7QPPKQ,12/28/2017 12:00:00 AM,DUNES RESTAURANT,96,A,1,ROUTINE INSPECTION,EE0000857,5625 W SUNSET BLVD,LOS ANGELES,FA0019964,CA,90028,OW0023801,MAVOPIAN JOHN,RESTAURANT (61-150) SEATS HIGH RISK,1638,DUNES RESTAURANT,ACTIVE,PR0022540
DA85ZLP32,12/28/2017 12:00:00 AM,THE FOUNDATION CENTER,97,A,1,ROUTINE INSPECTION,EE0000224,11633 S WESTERN AVE,LOS ANGELES,FA0165629,CA,90047,OW0128872,"NOAH'S DWELLING, LLC",RESTAURANT (151 + ) SEATS HIGH RISK,1641,THE FOUNDATION CENTER,ACTIVE,PR0153961
DACQPGHLW,12/28/2017 12:00:00 AM,ONO HAWAIIAN BBQ,98,A,1,ROUTINE INSPECTION,EE0000857,5539 W SUNSET BLVD,LOS ANGELES,FA0042611,CA,90028,OW0015833,"HOLLYWOOD SUNSET, LLC",RESTAURANT (31-60) SEATS HIGH RISK,1635,ONO HAWAIIAN BBQ,ACTIVE,PR0006530
DA3E0YERS,12/28/2017 12:00:00 AM,MUSH BAKERY,94,A,1,ROUTINE INSPECTION,EE0000857,5224 W SUNSET BLVD,LOS ANGELES,FA0248892,CA,90027,OW0243234,NANUSH AGADZHANYAN,RESTAURANT (0-30) SEATS HIGH RISK,1632,MUSH BAKERY,ACTIVE,PR0197593
DAYG9SAQH,12/28/2017 12:00:00 AM,REGGIE'S DELI & CAFE,96,A,1,ROUTINE INSPECTION,EE0000923,1910 W SUNSET BLVD STE 150,LOS ANGELES,FA0166043,CA,90026,OW0129254,REGGIE KEVIN & OSCAR INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,REGGIE'S DELI & CAFE,ACTIVE,PR0156259
DAZIW9OU9,12/28/2017 12:00:00 AM,HOT THAI RESTAURANT,92,A,1,ROUTINE INSPECTION,EE0000659,416 S SAN VICENTE BLVD,LOS ANGELES,FA0143611,CA,90048,OW0106678,HOT THAI RUBSUB LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,HOT THAI RESTAURANT,ACTIVE,PR0129536
DA8W0B9VW,12/27/2017 12:00:00 AM,WABA GRILL,100,A,1,ROUTINE INSPECTION,EE0000835,7109 W SUNSET BLVD,LOS ANGELES,FA0249175,CA,90046,OW0243472,MICHAEL & DANIEL INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,WABA GRILL,ACTIVE,PR0197882
DA0WXZ80O,12/27/2017 12:00:00 AM,THANK YOU FOR COMING,97,A,1,ROUTINE INSPECTION,EE0000923,3416 GLENDALE BLVD,LOS ANGELES,FA0036871,CA,90039,OW0035408,THANK YOU FOR COMING LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,THANK YOU FOR COMING,ACTIVE,PR0018515
DALANTBWL,12/27/2017 12:00:00 AM,TROPICAL FRUITS & JUICES,95,A,1,ROUTINE INSPECTION,EE0000923,5729 N FIGUEROA ST,LOS ANGELES,FA0053217,CA,90042,OW0015512,HIGHLAND PARK FLORIST INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,TROPICAL FRUITS & JUICES,ACTIVE,PR0014584
DAQKIE2OT,12/27/2017 12:00:00 AM,SUBWAY -52105,95,A,1,ROUTINE INSPECTION,EE0000721,255 S GRAND AVE STE 101,LOS ANGELES,FA0034746,CA,90012,OW0005591,C G INVESTMENTS INC,RESTAURANT (31-60) SEATS MODERATE RISK,1634,SUBWAY -52105,ACTIVE,PR0017785
DAPTX4MXG,12/27/2017 12:00:00 AM,IHOP,98,A,1,ROUTINE INSPECTION,EE0000835,7006 W SUNSET BLVD,LOS ANGELES,FA0028990,CA,90028,OW0015847,HOLLYWOOD FIVE INC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,IHOP,ACTIVE,PR0016398
DA0OD6RH9,12/27/2017 12:00:00 AM,ALEX FISH MARKET,98,A,1,ROUTINE INSPECTION,EE0000905,1451 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,FA0003285,CA,90062,OW0020175,"KWON,UNG","FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",1612,ALEX FISH MARKET,ACTIVE,PR0004662
DA3IYZ70S,12/27/2017 12:00:00 AM,PANDA EXPRESS #2596,96,A,1,ROUTINE INSPECTION,EE0000727,1544 S LA CIENEGA BLVD,LOS ANGELES,FA0203910,CA,90035,OW0027458,PANDA EXPRESS INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,PANDA EXPRESS #2596,ACTIVE,PR0176315
DA5T0DM3D,12/28/2017 12:00:00 AM,GOLDEN INDIAN GRILL,92,A,1,ROUTINE INSPECTION,EE0000727,5954 W PICO BLVD,LOS ANGELES,FA0026036,CA,90035,OW0033072,"SINGH, NIHAL",RESTAURANT (0-30) SEATS HIGH RISK,1632,GOLDEN INDIAN GRILL,ACTIVE,PR0025454
DALQKIH4V,12/27/2017 12:00:00 AM,LA MONARCA BAKERY,96,A,1,ROUTINE INSPECTION,EE0000923,5835 N FIGUEROA ST,LOS ANGELES,FA0176894,CA,90042,OW0182888,"LA MONARCA BAKERY VI, LLC",RESTAURANT (31-60) SEATS MODERATE RISK,1634,LA MONARCA BAKERY,ACTIVE,PR0169816
DA5TTIEPJ,12/27/2017 12:00:00 AM,LAXSUL COMPANY,92,A,1,ROUTINE INSPECTION,EE0000633,380 WORLD WAY LVL6 SP5,LOS ANGELES,FA0160031,CA,90045,OW0125018,"LAXSUL COMPANY, LLC",RESTAURANT (31-60) SEATS MODERATE RISK,1634,LAXSUL,ACTIVE,PR0148112
DAVQHNHE3,12/27/2017 12:00:00 AM,THE COUNTER SPACE 7C,84,B,1,ROUTINE INSPECTION,EE0000122,700 WORLD WAY,LOS ANGELES,FA0241469,CA,90045,OW0016382,HOST INTERNATIONAL INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,THE COUNTER SPACE 7C,ACTIVE,PR0189582
DA70579UR,12/27/2017 12:00:00 AM,KALBIS KOREAN GRILL,86,B,1,ROUTINE INSPECTION,EE0000338,11102 W OLYMPIC BLVD,LOS ANGELES,FA0226175,CA,90064,OW0230347,JM BROTHERES INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,KALBIS KOREAN GRILL,ACTIVE,PR0181486
DAL31XKHE,12/27/2017 12:00:00 AM,TOGO'S,95,A,1,ROUTINE INSPECTION,EE0000721,505 S FLOWER ST STE #B420,LOS ANGELES,FA0037998,CA,90071,OW0031766,SANTOS FERNANDO,RESTAURANT (0-30) SEATS MODERATE RISK,1631,TOGO'S,ACTIVE,PR0004315
DAU1Z2DBP,12/27/2017 12:00:00 AM,AFC SUSHI AT WALGREENS #1527,95,A,1,ROUTINE INSPECTION,EE0000709,1501 N VINE ST,LOS ANGELES,FA0057109,CA,90028,OW0001761,ADVANCED FRESH CONCEPTS FRANCHISE CORP,RESTAURANT (0-30) SEATS HIGH RISK,1632,AFC SUSHI AT WALGREENS #1527,ACTIVE,PR0019247
DAWL6GKSY,12/27/2017 12:00:00 AM,JACKY'S RESTAURANT,91,A,1,ROUTINE INSPECTION,EE0000721,310 W 5TH ST #102,LOS ANGELES,FA0155867,CA,90013-1902,OW0121139,"COSIO, LIZET VIOLETA S",RESTAURANT (0-30) SEATS MODERATE RISK,1631,JACKY'S RESTAURANT,ACTIVE,PR0143305
DADNBD7MO,12/27/2017 12:00:00 AM,CALIFORNIA MEXICAN GRILL,90,A,1,ROUTINE INSPECTION,EE0000338,11106 W OLYMPIC BLVD,LOS ANGELES,FA0012521,CA,90064,OW0005900,"CAMACHO, OSCAR FLORES",RESTAURANT (0-30) SEATS HIGH RISK,1632,CALIFORNIA MEXICAN GRILL,ACTIVE,PR0034895
DAQVYUGFR,12/27/2017 12:00:00 AM,DOLCINI CAFFEE EXPRESSO,92,A,1,ROUTINE INSPECTION,EE0000721,619 S GRAND AVE,LOS ANGELES,FA0019287,CA,90017,OW0016734,HYANG RIM PARK,RESTAURANT (0-30) SEATS MODERATE RISK,1631,DOLCINI CAFFEE EXPRESSO,ACTIVE,PR0026162
DAIPOR9KZ,12/27/2017 12:00:00 AM,PRIME GRIND COFFEE,93,A,1,ROUTINE INSPECTION,EE0000721,714 W 1ST ST,LOS ANGELES,FA0174581,CA,90012,OW0181225,HYMAN YOUN BAK,RESTAURANT (0-30) SEATS MODERATE RISK,1631,PRIME GRIND COFFEE,ACTIVE,PR0167604
DA5K0JIUB,12/27/2017 12:00:00 AM,ETCHEA,91,A,1,ROUTINE INSPECTION,EE0000721,254 S HOPE ST,LOS ANGELES,FA0138099,CA,90012,OW0101504,HOPE ST. BAKERY PARTNERS LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,ETCHEA,ACTIVE,PR0122337
DAEAWMFCU,12/27/2017 12:00:00 AM,RALPHS MARKET #206,98,A,1,ROUTINE INSPECTION,EE0000857,5429 HOLLYWOOD BLVD,LOS ANGELES,FA0069287,CA,90027,OW0029458,RALPHS GROCERY COMPANY,RESTAURANT (0-30) SEATS HIGH RISK,1632,RALPHS MARKET DELI #206,ACTIVE,PR0043532
DA7VM3CF5,12/27/2017 12:00:00 AM,LOTERIA GRILL SPACE 7C,95,A,1,ROUTINE INSPECTION,EE0000122,700 WORLD WAY,LOS ANGELES,FA0241574,CA,90045,OW0016382,HOST INTERNATIONAL INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,LOTERIA GRILL SPACE 7C,ACTIVE,PR0189700
DAO3AYXGX,12/27/2017 12:00:00 AM,HOY'S WOK,94,A,1,ROUTINE INSPECTION,EE0000835,7105 W SUNSET BLVD,LOS ANGELES,FA0029647,CA,90046,OW0017053,"IP, HUNG PAUL",RESTAURANT (31-60) SEATS HIGH RISK,1635,HOY'S WOK,ACTIVE,PR0044313
DAUODIBBF,12/27/2017 12:00:00 AM,BASE COAT -JUICE BAR,99,A,1,ROUTINE INSPECTION,EE0000366,704 MATEO ST,LOS ANGELES,FA0241024,CA,90021,OW0237019,"BASE COAT CALIFORNIA, LLC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,BASE COAT -JUICE BAR,ACTIVE,PR0189095
DASFQOW9O,12/27/2017 12:00:00 AM,WAX PAPER,97,A,1,ROUTINE INSPECTION,EE0000923,2902 KNOX AVE,LOS ANGELES,FA0180581,CA,90039,OW0185937,"WAX PAPER, LLC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,WAX PAPER,ACTIVE,PR0174372
DAWQCHLRE,12/27/2017 12:00:00 AM,RENAISSANCE 96TH STREET BISTRO,95,A,1,ROUTINE INSPECTION,EE0000955,9620 AIRPORT BLVD,LOS ANGELES,FA0046199,CA,90045,OW0039321,WSRH LAX AIRPORT LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,RENAISSANCE 96TH STREET BISTRO,ACTIVE,PR0033856
DAXR0CIY0,12/27/2017 12:00:00 AM,KIKKA @ ARCO PLAZA,93,A,1,ROUTINE INSPECTION,EE0000721,505 S FLOWER ST # B-270,LOS ANGELES,FA0032292,CA,90071,OW0017151,"ITO, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,KIKKA SUSHI,ACTIVE,PR0021513
DAEYW9LN0,12/27/2017 12:00:00 AM,ROLLING STONE SPACE 7C,80,B,1,ROUTINE INSPECTION,EE0000122,700 WORLD WAY,LOS ANGELES,FA0241558,CA,90045,OW0016382,HOST INTERNATIONAL INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,ROLLING STONE SPACE 7C,ACTIVE,PR0189681
DAPR3VX0X,12/27/2017 12:00:00 AM,J & F ICE CREAM SHOP,95,A,1,ROUTINE INSPECTION,EE0000740,1703 MARIACHI PLZ,LOS ANGELES,FA0018277,CA,90033,OW0037843,"VILLA ORTEGA, JOSE ISABEL",RESTAURANT (0-30) SEATS MODERATE RISK,1631,J & F ICE CREAM SHOP,ACTIVE,PR0008908
DAADMT6C3,12/27/2017 12:00:00 AM,DONUT FACTORY,92,A,1,ROUTINE INSPECTION,EE0000923,2225 N SAN FERNANDO RD,LOS ANGELES,FA0061048,CA,90065,OW0016254,HONG LINA LIM,RESTAURANT (31-60) SEATS MODERATE RISK,1634,DONUT FACTORY,ACTIVE,PR0022711
DAN2EFM01,12/27/2017 12:00:00 AM,JOHNNIE'S NEW YORK PIZZA,92,A,1,ROUTINE INSPECTION,EE0000721,505 S FLOWER ST # B300F,LOS ANGELES,FA0064431,CA,90070,OW0009143,"CSI RESTAURANT GROUP, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,JOHNNIE'S NEW YORK PIZZA,ACTIVE,PR0037456
DAQ0ZOO9P,12/27/2017 12:00:00 AM,EAGLE ROCK BREWERY,96,A,1,ROUTINE INSPECTION,EE0000923,3056 ROSWELL ST,LOS ANGELES,FA0141687,CA,90065-2214,OW0104831,"EAGLE ROCK BREWERY, LLC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,EAGLE ROCK BREWERY,ACTIVE,PR0128775
DAVXAZ9QO,12/27/2017 12:00:00 AM,DONUT STAR,93,A,1,ROUTINE INSPECTION,EE0000923,4102 VERDUGO RD,LOS ANGELES,FA0224982,CA,90065,OW0229447,LCCS CORP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,DONUT STAR,ACTIVE,PR0180278
DATBNJ9H0,12/27/2017 12:00:00 AM,ROSE GARDEN CAFE,95,A,1,ROUTINE INSPECTION,EE0000697,5930 FRANKLIN AVE,LOS ANGELES,FA0046232,CA,90028,OW0008097,CHURCH OF SCIENTOLOGY CELEBR,RESTAURANT (61-150) SEATS MODERATE RISK,1637,ROSE GARDEN CAFE,ACTIVE,PR0032462
DA9GQ6FT4,12/27/2017 12:00:00 AM,MRS FIELD'S COOKI #426,93,A,1,ROUTINE INSPECTION,EE0000721,505 S FLOWER ST,LOS ANGELES,FA0040720,CA,90071,OW0011678,FATIMAH SAFARI,RESTAURANT (0-30) SEATS MODERATE RISK,1631,MRS FIELD'S COOKI #426,ACTIVE,PR0001697
DAONHOPY1,12/27/2017 12:00:00 AM,SHIN KANG SEO MYUN OAK,95,A,1,ROUTINE INSPECTION,EE0000884,3250 W OLYMPIC BLVD #313,LOS ANGELES,FA0064650,CA,90006,OW0099674,"KIM, YOUNG YUN",RESTAURANT (0-30) SEATS HIGH RISK,1632,SHIN KANG SEO MYUN OAK,ACTIVE,PR0033045
DARQKZYXV,12/27/2017 12:00:00 AM,MCDONALD'S #2084,96,A,1,ROUTINE INSPECTION,EE0000923,3124 N SAN FERNANDO RD,LOS ANGELES,FA0038653,CA,90065,OW0023946,MCDONALD'S CORPORATION,RESTAURANT (61-150) SEATS MODERATE RISK,1637,MCDONALD'S #2084,ACTIVE,PR0047258
DAL6VKQPQ,12/27/2017 12:00:00 AM,PLANCHA TACOS,91,A,1,ROUTINE INSPECTION,EE0000894,2024 PACIFIC AVE,LOS ANGELES,FA0155781,CA,90291,OW0121068,VENICE TACOS LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,PLANCHA TACOS,ACTIVE,PR0143226
DAL0RLTKH,12/27/2017 12:00:00 AM,BLD,83,B,1,ROUTINE INSPECTION,EE0000122,700 WORLD WAY # 7C,LOS ANGELES,FA0241303,CA,90045,OW0016382,HOST INTERNATIONAL INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,BLD,ACTIVE,PR0189414
DAQ6YAEBS,12/27/2017 12:00:00 AM,NOODLE PLUS,98,A,1,ROUTINE INSPECTION,EE0000884,3250 W OLYMPIC BLVD STE 309,LOS ANGELES,FA0165259,CA,90006,OW0128534,SU YOUNG KIM,RESTAURANT (0-30) SEATS HIGH RISK,1632,NOODLE PLUS,ACTIVE,PR0153574
DAZCEUYYC,12/27/2017 12:00:00 AM,RENAISSANCE 96TH STREET BISTRO,99,A,1,ROUTINE INSPECTION,EE0000955,9620 AIRPORT BLVD,LOS ANGELES,FA0046199,CA,90045,OW0039321,WSRH LAX AIRPORT LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,RENAISSANCE EMPLOYEE CAFE,ACTIVE,PR0028277
